,Classifier Name,Hyperparameters,Precision,Recall,F-score
429,MLP,"(50, 50)",0.47058823529411764,0.42105263157894735,0.4444444444444444
430,Random Forest,5,0.875,0.3684210526315789,0.5185185185185185
431,Biased Classifier,Dummy,0.2923076923076923,1.0,0.4523809523809524
432,Decision Tree,2,0.7142857142857143,0.5555555555555556,0.6250000000000001
433,Naive Bayes,0,0.5454545454545454,0.3333333333333333,0.41379310344827586
434,SVM,1,0.8,0.4444444444444444,0.5714285714285714
435,MLP,"(50, 50)",0.6666666666666666,0.5555555555555556,0.606060606060606
436,Random Forest,5,0.6,0.5,0.5454545454545454
437,Biased Classifier,Dummy,0.27692307692307694,1.0,0.4337349397590362
438,Decision Tree,2,0.5833333333333334,0.5384615384615384,0.5599999999999999
439,Naive Bayes,0,0.5,0.38461538461538464,0.4347826086956522
440,SVM,1,0.5,0.23076923076923078,0.3157894736842105
441,MLP,"(50, 50)",0.5833333333333334,0.5384615384615384,0.5599999999999999
442,Random Forest,5,0.5,0.46153846153846156,0.48000000000000004
443,Biased Classifier,Dummy,0.203125,1.0,0.33766233766233766
444,Decision Tree,2,0.5,0.2222222222222222,0.30769230769230765
445,Naive Bayes,0,0.4,0.2222222222222222,0.2857142857142857
446,SVM,1,0.8,0.4444444444444444,0.5714285714285714
447,MLP,"(50, 50)",0.26666666666666666,0.4444444444444444,0.33333333333333337
448,Random Forest,5,0.25,0.5555555555555556,0.3448275862068966
449,Biased Classifier,Dummy,0.140625,1.0,0.2465753424657534
450,Decision Tree,2,0.42857142857142855,0.42857142857142855,0.42857142857142855
451,Naive Bayes,0,0.6666666666666666,0.5714285714285714,0.6153846153846153
452,SVM,1,0.8,0.5714285714285714,0.6666666666666666
453,MLP,"(50, 50)",0.2857142857142857,0.5714285714285714,0.38095238095238093
454,Random Forest,5,0.3333333333333333,0.7142857142857143,0.4545454545454545
455,Biased Classifier,Dummy,0.1076923076923077,1.0,0.19444444444444445
456,Decision Tree,2,0.5384615384615384,0.4117647058823529,0.4666666666666667
457,Naive Bayes,0,0.42857142857142855,0.17647058823529413,0.25
458,SVM,1,0.5,0.23529411764705882,0.31999999999999995
459,MLP,"(50, 50)",0.3333333333333333,0.11764705882352941,0.1739130434782609
460,Random Forest,5,0.6666666666666666,0.47058823529411764,0.5517241379310345
461,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
462,Decision Tree,2,1.0,0.3125,0.47619047619047616
463,Naive Bayes,0,1.0,0.3125,0.47619047619047616
464,SVM,1,1.0,0.25,0.4
465,MLP,"(50, 50)",0.6153846153846154,0.5,0.5517241379310345
466,Random Forest,5,0.8181818181818182,0.5625,0.6666666666666666
467,Biased Classifier,Dummy,0.24615384615384617,1.0,0.39506172839506176
468,Decision Tree,2,0.6,0.14285714285714285,0.23076923076923073
469,Naive Bayes,0,0.625,0.23809523809523808,0.3448275862068965
470,SVM,1,0.7,0.3333333333333333,0.45161290322580644
471,MLP,"(50, 50)",0.5,0.2857142857142857,0.36363636363636365
472,Random Forest,5,0.6,0.42857142857142855,0.5
473,Biased Classifier,Dummy,0.328125,1.0,0.49411764705882355
474,Decision Tree,2,0.7272727272727273,0.5333333333333333,0.6153846153846153
475,Naive Bayes,0,0.6666666666666666,0.5333333333333333,0.5925925925925926
476,SVM,1,0.8,0.5333333333333333,0.64
477,MLP,"(50, 50)",0.5,0.6666666666666666,0.5714285714285715
478,Random Forest,5,0.6666666666666666,0.5333333333333333,0.5925925925925926
479,Biased Classifier,Dummy,0.234375,1.0,0.379746835443038
480,Decision Tree,2,0.75,0.5,0.6
481,Naive Bayes,0,0.75,0.3333333333333333,0.46153846153846156
482,SVM,1,1.0,0.2777777777777778,0.4347826086956522
483,MLP,"(50, 50)",0.5238095238095238,0.6111111111111112,0.5641025641025642
484,Random Forest,5,0.625,0.5555555555555556,0.5882352941176471
485,Biased Classifier,Dummy,0.27692307692307694,1.0,0.4337349397590362
486,Decision Tree,2,0.5555555555555556,0.35714285714285715,0.43478260869565216
487,Naive Bayes,0,0.2857142857142857,0.14285714285714285,0.19047619047619047
488,SVM,1,0.8,0.2857142857142857,0.4210526315789473
489,MLP,"(50, 50)",0.38461538461538464,0.35714285714285715,0.3703703703703704
490,Random Forest,5,0.6363636363636364,0.5,0.56
491,Biased Classifier,Dummy,0.2153846153846154,1.0,0.35443037974683544
492,Decision Tree,2,0.8,0.36363636363636365,0.5000000000000001
493,Naive Bayes,0,0.7142857142857143,0.45454545454545453,0.5555555555555556
494,SVM,1,0.6666666666666666,0.36363636363636365,0.4705882352941177
495,MLP,"(50, 50)",0.5,0.36363636363636365,0.4210526315789474
496,Random Forest,5,0.5454545454545454,0.5454545454545454,0.5454545454545454
497,Biased Classifier,Dummy,0.16923076923076924,1.0,0.2894736842105263
498,Decision Tree,2,0.42857142857142855,0.23076923076923078,0.3
499,Naive Bayes,0,0.3333333333333333,0.15384615384615385,0.21052631578947367
500,SVM,1,0.5,0.3076923076923077,0.380952380952381
501,MLP,"(50, 50)",0.29411764705882354,0.38461538461538464,0.33333333333333337
502,Random Forest,5,0.26666666666666666,0.3076923076923077,0.28571428571428575
503,Biased Classifier,Dummy,0.203125,1.0,0.33766233766233766
504,Decision Tree,2,0.9,0.45,0.6
505,Naive Bayes,0,0.75,0.45,0.5625000000000001
506,SVM,1,0.75,0.3,0.4285714285714285
