,Classifier Name,Hyperparameters,Precision,Recall,F-score
2590,Random Forest,200.0,0.625,0.5263157894736842,0.5714285714285714
2591,Biased Classifier,,0.2923076923076923,1.0,0.4523809523809524
2592,Decision Tree,100.0,0.45454545454545453,0.29411764705882354,0.35714285714285715
2593,Naive Bayes,,0.8333333333333334,0.29411764705882354,0.4347826086956522
2594,SVM,100.0,1.0,0.29411764705882354,0.45454545454545453
2595,MLP,,0.6428571428571429,0.5294117647058824,0.5806451612903226
2596,Random Forest,200.0,0.6666666666666666,0.35294117647058826,0.46153846153846156
2597,Biased Classifier,,0.26153846153846155,1.0,0.41463414634146345
2598,Decision Tree,100.0,0.15384615384615385,0.18181818181818182,0.16666666666666669
2599,Naive Bayes,,0.25,0.18181818181818182,0.2105263157894737
2600,SVM,100.0,0.3333333333333333,0.18181818181818182,0.23529411764705885
2601,MLP,,0.15384615384615385,0.18181818181818182,0.16666666666666669
2602,Random Forest,200.0,0.3333333333333333,0.18181818181818182,0.23529411764705885
2603,Biased Classifier,,0.171875,1.0,0.29333333333333333
2604,Decision Tree,100.0,0.6363636363636364,0.4375,0.5185185185185185
2605,Naive Bayes,,0.8,0.25,0.38095238095238093
2606,SVM,100.0,0.8,0.25,0.38095238095238093
2607,MLP,,0.42857142857142855,0.375,0.39999999999999997
2608,Random Forest,200.0,0.7142857142857143,0.3125,0.43478260869565216
2609,Biased Classifier,,0.25,1.0,0.4
2610,Decision Tree,100.0,0.631578947368421,0.6666666666666666,0.6486486486486486
2611,Naive Bayes,,0.8571428571428571,0.3333333333333333,0.48
2612,SVM,100.0,1.0,0.2222222222222222,0.3636363636363636
2613,MLP,,0.47368421052631576,0.5,0.4864864864864865
2614,Random Forest,200.0,0.6666666666666666,0.4444444444444444,0.5333333333333333
2615,Biased Classifier,,0.27692307692307694,1.0,0.4337349397590362
2616,Decision Tree,100.0,0.6666666666666666,0.625,0.6451612903225806
2617,Naive Bayes,,0.8888888888888888,0.5,0.64
2618,SVM,100.0,1.0,0.375,0.5454545454545454
2619,MLP,,0.7272727272727273,0.5,0.5925925925925926
2620,Random Forest,200.0,1.0,0.625,0.7692307692307693
2621,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
2622,Decision Tree,100.0,0.22727272727272727,0.625,0.3333333333333333
2623,Naive Bayes,,0.21428571428571427,0.375,0.2727272727272727
2624,SVM,100.0,0.2857142857142857,0.5,0.36363636363636365
2625,MLP,,0.2222222222222222,0.5,0.30769230769230765
2626,Random Forest,200.0,0.3076923076923077,0.5,0.380952380952381
2627,Biased Classifier,,0.12307692307692308,1.0,0.21917808219178084
2628,Decision Tree,100.0,0.6,0.4090909090909091,0.4864864864864865
2629,Naive Bayes,,0.8333333333333334,0.22727272727272727,0.35714285714285715
2630,SVM,100.0,0.7142857142857143,0.22727272727272727,0.3448275862068965
2631,MLP,,0.8333333333333334,0.45454545454545453,0.5882352941176471
2632,Random Forest,200.0,0.8571428571428571,0.2727272727272727,0.41379310344827586
2633,Biased Classifier,,0.34375,1.0,0.5116279069767442
2634,Decision Tree,100.0,0.29411764705882354,0.4166666666666667,0.3448275862068966
2635,Naive Bayes,,0.42857142857142855,0.25,0.3157894736842105
2636,SVM,100.0,0.8,0.3333333333333333,0.47058823529411764
2637,MLP,,0.21052631578947367,0.3333333333333333,0.2580645161290323
2638,Random Forest,200.0,0.4166666666666667,0.4166666666666667,0.4166666666666667
